,deputy_name,deputy_state,political_party,refund_description,company_name,company_id,refund_date,refund_value,party_pg,party_en,party_tse,party_regdate,party_nmembers,party_ideology1,party_ideology2,party_ideology3,party_ideology4,party_position
273146,HENRIQUE FONTANA,RS,PT,FUEL COSTS,DITRENTO POSTOS E LOGISTICA LTDA,7473735005910.0,2016-08-18T00:00:00,50.0,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
174712,LUCIANO DUCCI,PR,PSB,FUEL COSTS,COPAGRA - COOP. AGROINDL. DO NOROESTE PARANAENSE,81034993000900.0,2016-07-12T00:00:00,127.91,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
213894,EDMAR ARRUDA,PR,PSD,FUEL COSTS,AUTO SHOPPING DERIVADOS DE PETRÓLEO LTDA,37063328000800.0,2016-11-30T00:00:00,50.0,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
165868,GEORGE HILTON,MG,PROS,FLIGHT TICKET,Cia Aérea - AZUL,9296295000160.0,2016-05-30T00:00:00,694.35,Partido Republicano da Ordem Social,Republican Party of the Social Order,90.0,24-09-13,85599.0,Economic liberalism, Social conservatism, Republicanism,,Centreright
75117,MARINHA RAUPP,RO,PMDB,HOTEL COSTS,DOMIIQUE HOTEL,34760710000100.0,2016-10-05T00:00:00,220.0,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
171453,DANILO FORTE,CE,PSB,FUEL COSTS,L. SILVA PEIXOTO,10785932000100.0,2016-04-02T00:00:00,116.0,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
154693,BETO MANSUR,SP,PRB,PHONE COSTS,VIVO,2558157000160.0,2016-04-08T00:00:00,674.05,Partido Republicano Brasileiro,Brazilian Republican Party,10.0,25-08-05,383684.0,Christian democracy,Social conservatism,,,Centreright
260850,ANA PERUGINI,SP,PT,PHONE COSTS,TELEFÔNICA BRASIL S.A.,2558157000160.0,2016-03-22T00:00:00,1361.99,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
86029,FLAVIANO MELO,AC,PMDB,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-03-18T00:00:00,877.63,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
165748,FELIPE BORNIER,RJ,PROS,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-06-02T00:00:00,-55.1,Partido Republicano da Ordem Social,Republican Party of the Social Order,90.0,24-09-13,85599.0,Economic liberalism, Social conservatism, Republicanism,,Centreright
4034,PAUDERNEY AVELINO,AM,DEM,FUEL COSTS,PETROVAN DERIVADOS DE PETROLEO LTDA,84472851000100.0,2016-09-08T00:00:00,186.61,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
293509,JORGE SOLLA,BA,PT,PHONE COSTS,RAMAL,,,71.02,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
302349,JORGE CÔRTE REAL,PE,PTB,FUEL COSTS,POSTO 212 SUL LTDA,595058000125.0,2016-09-21T00:00:00,178.32,Partido Trabalhista Brasileiro,Brazilian Labour Party ,14.0,03-11-81,1191746.0,Centrism,Populism,Federalism,Nationalism,Centre
163169,SÉRGIO REIS,SP,PRB,FUEL COSTS,SÃO JOÃO POSTOS DE ABASTECIMENTOS E SERVIÇOS,37130481000200.0,2016-01-04T00:00:00,175.9,Partido Republicano Brasileiro,Brazilian Republican Party,10.0,25-08-05,383684.0,Christian democracy,Social conservatism,,,Centreright
168827,RAFAEL MOTTA,RN,PSB,GROUND VEHICLE RENT,VERONA VEÍCULOS LTDA,70307392000100.0,2016-04-30T00:00:00,6480.0,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
306325,CRISTIANE BRASIL,RJ,PTB,FUEL COSTS,AUTO POSTO PARQUE DO FLAMENGO LTDA,42363077000200.0,2016-11-07T00:00:00,50.09,Partido Trabalhista Brasileiro,Brazilian Labour Party ,14.0,03-11-81,1191746.0,Centrism,Populism,Federalism,Nationalism,Centre
202065,STEFANO AGUIAR,MG,PSD,FUEL COSTS,POSTO MARQUEZ LTDA,42996140000100.0,2016-08-07T00:00:00,62.25,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
209534,JOAQUIM PASSARINHO,PA,PSD,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-08-18T00:00:00,327.58,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
251159,LUIZA ERUNDINA,SP,PSOL,PHONE COSTS,TELEFONICA BRASIL S.A.,2558157000160.0,2016-08-05T00:00:00,346.46,Partido Socialismo e Liberdade,Socialism and Liberty Party,50.0,15-09-05,120979.0,Democratic socialism, Anticapitalism,,,Leftwing
98609,FERNANDO MONTEIRO,PE,PP,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-02-17T00:00:00,562.9,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
14201,ALBERTO FRAGA,DF,DEM,DISSEMINATION OF PARLIAMENTARY ACTIVITY,ATOS  DOIS PROPAGANDA E PUBLICIDADE LTDA ME,13182427000100.0,2016-09-08T00:00:00,24500.0,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
180412,BEBETO,BA,PSB,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-06-15T00:00:00,650.73,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
102340,COVATTI FILHO,RS,PP,FUEL COSTS,DRA4 DERIVADOS DE PETROLEO LTDA,19257042000100.0,2016-03-10T00:00:00,30.0,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
51982,CARLOS MARUN,MS,PMDB,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-03-17T00:00:00,1054.83,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
71744,HERMES PARCIANELLO,PR,PMDB,PHONE COSTS,RAMAL,,,83.73,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
90501,DILCEU SPERAFICO,PR,PP,FUEL COSTS,Auto Posto Tolecema Ltda,564491000101.0,2016-08-25T00:00:00,40.0,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
251555,LUIZA ERUNDINA,SP,PSOL,FUEL COSTS,EMBARÉ AUTO POSTO LTDA.,47400114000200.0,2016-02-16T00:00:00,1179.7,Partido Socialismo e Liberdade,Socialism and Liberty Party,50.0,15-09-05,120979.0,Democratic socialism, Anticapitalism,,,Leftwing
332323,AUREO,RJ,SD,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-01-21T00:00:00,160.83,Solidariedade,Solidarity ,77.0,24-09-13,161914.0,Labour movement,Humanist Movement,,,Centre
